Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_004995665.1	ASM499566v1	grusopivirus C1	7862	1	1	
GCF_029888405.1	ASM2988840v1	Stenotaphrum nepovirus	14958	2	2	
GCF_018587545.1	ASM1858754v1	Senna severe yellow mosaic virus	7829	6	6	
GCF_018583755.1	ASM1858375v1	Epiphyllum badnavirus 1	7825	4	4	
GCF_023120515.1	ASM2312051v1	Neurospora crassa fusarivirus 1	7794	2	2	
GCF_013087895.1	ASM1308789v1	fipivirus C1	7790	1	1	
GCF_013087415.1	ASM1308741v1	rohelivirus A1	7780	1	1	
GCF_023123135.1	ASM2312313v1	Camellia ringspot associated virus 1	7779	3	3	
GCF_024750015.1	ASM2475001v1	Blueberry leaf mottle virus	13184	2	2	
GCF_023156765.1	ASM2315676v1	Scaphoideus titanus bunya-like virus 1	13559	3	3	
GCF_029885985.1	ASM2988598v1	Metaplexis yellow mottle-associated virus	7733	7	7	
GCF_029888305.1	ASM2988830v1	Anemone nepovirus A	14534	2	2	
GCF_013090065.1	ASM1309006v1	Bovine picornavirus	7625	1	1	
GCF_023148215.1	ASM2314821v1	Grapevine virus L	7621	5	5	
GCF_004788075.1	ASM478807v1	Canine picornavirus	7618	1	1	
GCF_018583705.1	ASM1858370v1	Pingu picornavirus	7601	1	1	
GCF_029886175.1	ASM2988617v1	Hangzhou eysarcoris guttigerus lispivirus 1	7584	1	1	
GCF_013090055.1	ASM1309005v1	Bovine picornavirus	7570	1	1	
GCF_900692495.1	lib02672	Ovine picornavirus	7557	1	1	
GCF_029884935.1	ASM2988493v1	Loquat virus A	7553	3	3	
GCF_013403605.1	ASM1340360v1	Ralstonia phage RSBg	7540	11	11	
GCF_024750025.1	ASM2475002v1	Potato black ringspot virus	11369	2	2	
GCF_023155545.1	ASM2315554v1	Hemipteran arli-related virus OKIAV95	7533	2	2	
GCF_013088055.1	ASM1308805v1	Apodemus agrarius picornavirus	7510	1	1	
GCF_018583025.1	ASM1858302v1	Dioscorea bacilliform RT virus	7506	3	3	
GCF_023122705.1	ASM2312270v1	Neurospora discreta fusarivirus 2	7506	2	2	
GCF_018583425.1	ASM1858342v1	limnipivirus D1	7504	1	1	
GCF_018587235.1	ASM1858723v1	Citrus yellow mottle virus	7479	6	6	
GCF_023124375.1	ASM2312437v1	Blueberry green mosaic associated virus	7477	5	5	
GCF_013087885.1	ASM1308788v1	Yili teratoscincus roborowskii picornavirus 2	7471	1	1	
GCF_023122895.1	ASM2312289v1	Peach chlorotic leaf spot virus	7466	3	3	
GCF_023131165.1	ASM2313116v1	Cherry symptomless virus	7460	3	3	
GCF_023156915.1	ASM2315691v1	Lychnis mottle virus	11199	2	2	
GCF_003389975.1	ASM338997v1	Picornaviridae sp.	7443	1	1	
GCF_029888235.1	ASM2988823v1	Inner Mongolia sediment arena-like virus	13734	4	4	
GCF_018582965.1	ASM1858296v1	Suncus murinus picornavirus	7407	1	1	
GCF_018595475.1	ASM1859547v1	Grapevine associated cogu-like virus 4	11311	4	4	
GCF_018595145.1	ASM1859514v1	Narangue virus	10817	3	3	
GCF_024750075.1	ASM2475007v1	Arracacha virus A	11217	2	2	
GCF_023123035.1	ASM2312303v1	Sclerotinia sclerotiorum hypovirus 6	7382	1	1	
GCF_029886605.1	ASM2988660v1	Musa ornata-associated banmivirus	7364	5	5	
GCF_029886215.1	ASM2988621v1	Guiyang lispivirus 1	7334	2	2	
GCF_002601625.1	ASM260162v1	Xanthomonas phage XacF1	7325	13	13	
GCF_023122745.1	ASM2312274v1	Entoleuca gammaflexivirus 2	7321	3	3	
GCF_009745235.1	ASM974523v1	Vibrio phage VALG_phi8	7311	10	10	
GCF_029883345.1	ASM2988334v1	Supella longipalpa mononega-like virus 2	7307	1	1	
GCF_029887675.1	ASM2988767v1	Bakau virus	12891	4	4	
GCF_023122975.1	ASM2312297v1	Sclerotium rolfsii fusarivirus 1	7301	2	2	
GCF_023156835.1	Contig 1	Poaceae Liege nepovirus A	11561	2	2	
GCF_013414835.1	ASM1341483v1	Cacao swollen shoot Togo A virus	7297	5	5	
GCF_018595035.1	ASM1859503v1	Kitale virus	10653	4	4	
GCF_023122985.1	ASM2312298v1	Sclerotium rolfsii fusarivirus 2	7281	2	2	
GCF_013086985.1	ASM1308698v1	Lijiang virus	10529	3	3	
GCF_018595445.1	ASM1859544v1	Grapevine associated cogu-like virus 2	10837	3	3	
GCF_029888435.1	Yop12	Cassava Torrado-like virus	11721	3	3	
GCF_013087075.1	ASM1308707v1	Alxa virus	10592	4	4	
GCF_018595455.1	ASM1859545v1	Grapevine associated cogu-like virus 3	10767	3	3	
GCF_029885975.1	ASM2988597v1	Grapevine-associated mononega-like virus 3	7247	1	1	
GCF_024750035.1	ASM2475003v1	Arracacha virus B	10535	2	2	
GCF_029888535.1	ASM2988853v1	Dhati Welel mammarenavirus	10585	4	4	
GCF_004789475.1	ASM478947v1	Mammarenavirus choriomeningitidis	10604	4	4	
GCF_023156575.1	ASM2315657v1	Lakamha virus	10924	3	3	
GCF_023156955.1	ASM2315695v1	Kwanza virus	10637	4	4	
GCF_029887505.1	ASM2988750v1	Nola virus	12996	4	4	
GCF_023156945.1	ASM2315694v1	Bitu virus	10561	4	4	
GCF_023156795.1	ASM2315679v1	Grapevine nepovirus A	11646	2	2	
GCF_009708655.1	ASM970865v1	Vibrio phage VP24-2_Ke	7180	13	13	
GCF_023124215.1	ASM2312421v1	Sclerotinia homoeocarpa fusarivirus 1	7171	2	2	
GCF_029888475.1	ASM2988847v1	Japanese star anise ringspot-associated virus	14257	5	5	
GCF_023148255.1	ASM2314825v1	Chestnut mosaic virus	7160	3	3	
GCF_029888415.1	Karaka_emaravirus	Karaka Okahu purepure emaravirus	13657	5	5	
GCF_023148155.1	ASM2314815v1	Auricularia heimuer fusarivirus 1	7127	1	1	
GCF_018595425.1	ASM1859542v1	Emaravirus verbanni	11679	4	4	
GCF_029888455.1	ASM2988845v1	Arceuthobium sichuanense virus 1	13441	5	5	
GCF_026210865.1	ASM2621086v2	Common oak ringspot-associated virus	13198	5	5	
GCF_026210855.1	ASM2621085v2	Aspen mosaic-associated virus	13862	5	5	
GCF_003390035.1	ASM339003v1	grusopivirus B1	7104	1	1	
GCF_018595355.1	ASM1859535v1	Pear chlorotic leaf spot-associated virus	13237	5	5	
GCF_029887895.1	ASM2988789v1	Browner virus	8741	2	2	
GCF_029887645.1	ASM2988764v1	Benfica virus	12809	3	3	
GCF_013087255.1	ASM1308725v1	gruhelivirus A1	7073	1	1	
GCF_029888485.1	ASM2988848v1	Vitis emaravirus	13307	5	5	
GCF_003673665.1	ASM367366v1	Lishi spider virus 1	11477	3	3	
GCF_013086145.1	ASM1308614v1	blackberry leaf mottle-associated virus	13559	5	5	
GCF_013090085.1	ASM1309008v1	Bat picornavirus	7048	1	1	
GCF_018595465.1	ASM1859546v1	Lilac chlorotic ringspot-associated virus	13798	5	5	
GCF_009901755.1	ASM990175v1	Vibrio phage XacF13	7045	14	14	
GCF_018595185.1	ASM1859518v1	Coleopteran phenui-related virus OKIAV308	12040	3	3	
GCF_029887865.1	ASM2988786v1	Aphis citricidus bunyavirus	11662	3	3	
GCF_029887435.1	ASM2988743v1	Telok Forest virus	12750	4	4	
GCF_023120355.1	ASM2312035v1	Agaricus bisporus virus 10	7033	2	2	
GCF_018595295.1	ASM1859529v1	Palo verde broom virus	11973	4	4	
GCF_029886655.1	ASM2988665v1	Chinaberry tree badnavirus 1	7018	4	4	
GCF_029887535.1	ASM2988753v1	M'Poko virus	12813	4	4	
GCF_009732535.1	ASM973253v1	Bruconha virus	12725	4	4	
GCF_029887565.1	ASM2988756v1	Juan Díaz virus	12883	3	3	
GCF_029888265.1	ASM2988826v1	Botambi virus	12680	4	4	
GCF_029887405.1	ASM2988740v1	Orthobunyavirus turlockense	12878	4	4	
GCF_029887635.1	ASM2988763v1	Bertioga virus	13085	3	3	
GCF_029887375.1	ASM2988737v1	Umbre virus	12485	4	4	
GCF_023124425.1	ASM2312442v1	Zostera virus T	6992	3	3	
GCF_029887595.1	ASM2988759v1	Gumbo Limbo virus	12513	4	4	
GCF_006297945.1	ASM629794v1	Orthobunyavirus thimiriense	12418	4	4	
GCF_023120365.1	ASM2312036v1	Agaricus bisporus virus 11	6981	2	2	
GCF_004789695.1	ASM478969v1	La Crosse virus	12490	4	4	
GCF_029887665.1	ASM2988766v1	Batama virus	12447	3	3	
GCF_009732075.1	ASM973207v1	Mirim virus	12607	3	3	
GCF_023122815.1	ASM2312281v1	Rocahepevirus ratti	6974	3	3	
GCF_029887605.1	ASM2988760v1	Guaratuba virus	12659	3	3	
GCF_009732155.1	ASM973215v1	Infirmatus virus	12430	3	3	
GCF_009732475.1	ASM973247v1	Nepuyo virus	12519	4	4	
GCF_003673645.1	ASM367364v1	Wenzhou crab virus 2	11657	3	3	
GCF_029887555.1	ASM2988755v1	Ketapang virus	12321	4	4	
GCF_029887725.1	ASM2988772v1	Anopheles B virus	12431	3	3	
GCF_009731935.1	ASM973193v1	Matruh virus	12220	3	3	
GCF_029887385.1	ASM2988738v1	Lednice virus	12454	3	3	
GCF_029887615.1	ASM2988761v1	Bushbush virus	12522	3	3	
GCF_029887995.1	ASM2988799v1	Euproctis pseudoconspersa bunyavirus	10918	3	3	
GCF_029888245.1	ASM2988824v1	Fushun phasmavirus 1	11688	3	3	
GCF_029887415.1	ASM2988741v1	Timboteua virus	13007	3	3	
GCF_029887455.1	ASM2988745v1	San Juan virus	13131	4	4	
GCF_029887855.1	ASM2988785v1	Baakal virus	13050	3	3	
GCF_009732055.1	ASM973205v1	Ananindeua virus	12753	3	3	
GCF_009732435.1	ASM973243v1	Apeu virus	12551	4	4	
GCF_029888285.1	Kow_L_cw2	Kowanyama virus	12627	4	4	
GCF_013087135.1	ASM1308713v1	Teschovirus A	6931	1	1	
GCF_029887525.1	ASM2988752v1	Minatitlan virus	12846	3	3	
GCF_029888385.1	ASM2988838v1	Codonopsis torradovirus A	11535	3	3	
GCF_018594675.1	ASM1859467v1	Buffalo Creek virus	12186	3	3	
GCF_029888205.1	ASM2988820v1	Bobaya virus	12536	3	3	
GCF_006298165.1	ASM629816v1	Manzanilla virus	12414	3	3	
GCF_018595095.1	ASM1859509v1	Niukluk phantom virus	12116	4	4	
GCF_018594955.1	ASM1859495v1	Sedlec virus	12532	4	4	
GCF_029887445.1	ASM2988744v1	Tanga virus	12305	3	3	
GCF_029887485.1	ASM2988748v1	Pacora virus	12849	4	4	
GCF_009732215.1	ASM973221v1	Abras virus	12751	4	4	
GCF_023156595.1	ASM2315659v1	Largemouth bass bunyavirus	11473	3	3	
GCF_029887805.1	ASM2988780v1	Acara virus	12511	3	3	
GCF_029888565.1	ASM2988856v1	Ness Ziona virus	12175	3	3	
GCF_029887655.1	ASM2988765v1	Belem virus	12765	4	4	
GCF_018594665.1	ASM1859466v1	Mapputta virus	12110	3	3	
GCF_009732575.1	ASM973257v1	Anopheles A virus	12207	3	3	
GCF_009731955.1	ASM973195v1	Mahogany hammock virus	12164	3	3	
GCF_018594935.1	ASM1859493v1	Triniti virus	12711	3	3	
GCF_029887495.1	ASM2988749v1	Okola virus	12247	3	3	
GCF_009731815.1	ASM973181v1	Yaba-7 virus	12018	4	4	
GCF_029887425.1	ASM2988742v1	Termeil virus	12301	4	4	
GCF_009732765.1	ASM973276v1	Northway virus	12353	4	4	
GCF_018595175.1	ASM1859517v1	Hemipteran phasma-related virus OKIAV247	12723	5	5	
GCF_009732415.1	ASM973241v1	Shokwe virus	12228	4	4	
GCF_018595275.1	ASM1859527v1	Neuropteran phasma-related virus OKIAV248	12685	3	3	
GCF_029887545.1	ASM2988754v1	Las Maloyas virus	12240	3	3	
GCF_018594785.1	ASM1859478v1	Gan Gan virus	12118	3	3	
GCF_029887625.1	ASM2988762v1	Boraceia virus	12355	3	3	
GCF_029887365.1	ASM2988736v1	Balagodu virus	12557	3	3	
GCF_006298005.1	ASM629800v1	Main Drain virus	12267	4	4	
GCF_023147845.1	ASM2314784v1	Cherry virus T	6847	3	3	
GCF_018580755.1	ASM1858075v1	Mos8Chu0 chuvirus	6844	1	1	
GCF_008802735.1	ASM880273v1	Chilibre virus	12543	3	3	
GCF_018583935.1	ASM1858393v1	Lampyris noctiluca chuvirus-like virus 1	6829	1	1	
GCF_009732255.1	ASM973225v1	Shark River virus	12504	4	4	
GCF_018594605.1	ASM1859460v1	Oyo virus	12115	3	3	
GCF_018587065.1	ASM1858706v1	marsupivirus A1	6821	1	1	
GCF_023131315.1	ASM2313131v1	rubber tree virus 1	6811	2	2	
GCF_029888135.1	ASM2988813v1	Ebinur lake virus	12194	3	3	
GCF_029888315.1	Secoviridae	surrounding non-legume associated virus	12066	2	2	
GCF_029888255.1	ASM2988825v1	Fushun phasmavirus 2	12377	3	3	
GCF_029888335.1	ASM2988833v1	Brassica campestris chinensis coguvirus 1	9818	3	3	
GCF_013086865.1	ASM1308686v1	blacklegged tick virus 1	9201	2	2	
GCF_029888365.1	ASM2988836v1	Xinjiang varicosa-like virus	12578	6	6	
GCF_029883305.1	ASM2988330v1	Trichopria drosophilae mononega-like virus	6728	1	1	
GCF_023148025.1	ASM2314802v1	Isopteran arli-related virus OKIAV103	6724	1	1	
GCF_003051725.1	ASM305172v1	Vibrio phage pre-CTX	6722	7	7	
GCF_029883225.1	ASM2988322v1	Belostoma flumineum mononega-like virus	6708	1	1	
GCF_013087035.1	ASM1308703v1	Citrus virus A	9431	3	3	
GCF_018594975.1	ASM1859497v1	Chinese mitten crab virus 1	10793	3	3	
GCF_018595435.1	ASM1859543v1	Grapevine associated cogu-like virus 1	9561	3	3	
GCF_029888355.1	ASM2988835v1	Watermelon crinkle leaf-associated virus 2	9385	3	3	
GCF_018595045.1	ASM1859504v1	Guadeloupe mosquito phasivirus	11902	3	3	
GCF_018595005.1	ASM1859500v1	European shore crab virus 1	11528	4	4	
GCF_018595265.1	ASM1859526v1	Parry's Creek phasivirus 1	11190	3	3	
GCF_029885085.1	ASM2988508v1	Erysiphe necator associated negative-stranded RNA virus 6	6659	1	1	
GCF_023124195.1	ASM2312419v1	Neurospora discreta fusarivirus 1	6648	2	2	
GCF_029888425.1	ASM2988842v1	Turtle fraservirus 1	12305	4	4	
GCF_023141545.1	ASM2314154v1	Plasmopara viticola lesion associated fusarivirus 1	6643	2	2	
GCF_023124205.1	ASM2312420v1	Rutstroemia firma fusarivirus 1	6641	2	2	
GCF_029888345.1	ASM2988834v1	Watermelon crinkle leaf-associated virus 1	9353	3	3	
GCF_023155505.1	ASM2315550v1	Bat hepatitis E virus	6632	3	3	
GCF_013090075.1	ASM1309007v1	Bat picornavirus	6624	1	1	
GCF_029888325.1	ASM2988832v1	Yunnan Paris negative-stranded virus	9480	3	3	
GCF_027921375.1	ASM2792137v1	hymenopteran phasma-related virus OKIAV250	12318	5	5	
GCF_023156845.1	ASM2315684v1	Barstukas virus	10740	2	2	
GCF_015992475.1	ASM1599247v1	Erwinia phage PEar6	6608	11	11	
GCF_013086855.1	ASM1308685v1	American dog tick virus	8415	2	2	
GCF_023156715.1	ASM2315671v1	Flen virus	9731	3	3	
GCF_027921365.1	ASM2792136v1	hymenopteran phasma-related virus OKIAV252	12415	5	5	
GCF_018595195.1	ASM1859519v1	Coleopteran phasma-related virus OKIAV235	9937	4	4	
GCF_023156525.1	ASM2315652v1	Khurdun virus	10679	3	3	
GCF_003308815.1	ASM330881v1	Xanthomonas phage phiXv2	6564	12	12	
GCF_029887945.1	ASM2988794v1	Guagua virus	12259	4	4	
GCF_002830985.1	ASM283098v1	Orthohantavirus sinnombreense	12318	3	3	
GCF_023120115.1	ASM2312011v1	Bat hepatitis E virus	6555	3	3	
GCF_013086945.1	ASM1308694v1	Pacific coast tick phlebovirus	7794	2	2	
GCF_013086875.1	ASM1308687v1	Dabieshan tick virus	8338	3	3	
GCF_018596435.1	ASM1859643v1	Lena virus	11927	3	3	
GCF_018594905.1	ASM1859490v1	Xuan son virus	11848	3	3	
GCF_013086625.1	ASM1308662v1	Campana virus	12531	4	4	
GCF_023156785.1	ASM2315678v1	Plasmopara viticola lesion associated mycobunyavirales-like virus 8	9327	3	3	
GCF_023156695.1	ASM2315669v1	Penicillium roseopurpureum negative ssRNA virus 1	9404	3	3	
GCF_023156625.1	ASM2315662v1	Penicillium discovirus	9000	3	3	
GCF_013086745.1	ASM1308674v1	Pena Blanca virus	12925	4	4	
GCF_018594995.1	ASM1859499v1	Salmon pescarenavirus 1	10349	3	3	
GCF_018595055.1	ASM1859505v1	Dar es Salaam virus TZ-189	11559	3	3	
GCF_018595255.1	ASM1859525v1	Perkerra virus	12388	4	4	
GCF_029887575.1	ASM2988757v1	Ceraphron bunya-like virus	11186	3	3	
GCF_026210775.1	ASM2621077v1	Xanthomonas phage Cf2	6454	12	12	
GCF_013086495.1	ASM1308649v1	Leticia virus	12507	4	4	
GCF_018594795.1	ASM1859479v1	Corfou virus	12486	4	4	
GCF_023147925.1	ASM2314792v1	Blattodean arli-related virus OKIAV102	6450	1	1	
GCF_013086755.1	ASM1308675v1	Tico virus	12767	4	4	
GCF_023156735.1	ASM2315673v1	Coredo virus	10967	5	5	
GCF_013086415.1	ASM1308641v1	Salobo virus	12554	4	4	
GCF_013086465.1	ASM1308646v1	Nile warbler virus	11376	4	4	
GCF_029888165.1	ASM2988816v1	Hedi virus	12591	4	4	
GCF_029888375.1	ASM2988837v1	morning glory varicosavirus	11697	5	5	
GCF_023155825.1	ASM2315582v1	Agave virus T	6408	3	3	
GCF_023156855.1	ASM2315685v1	Miglotas virus	10666	4	4	
GCF_018595225.1	ASM1859522v1	Embossos virus	12505	4	4	
GCF_013086265.1	ASM1308626v1	Arumowot virus	12262	4	4	
GCF_003308795.1	ASM330879v1	Xanthomonas phage phiLf2	6372	11	11	
GCF_018595245.1	ASM1859524v1	Kiborgoch virus	12442	4	4	
GCF_013086565.1	ASM1308656v1	Hunter Island virus	11390	4	4	
GCF_018595235.1	ASM1859523v1	Bogoria virus	12314	4	4	
GCF_004114855.1	ASM411485v1	Peach leaf pitting-associated virus	10218	2	2	
GCF_023120255.1	ASM2312025v1	Macrophomina phaseolina single-stranded RNA virus 1	6356	2	2	
GCF_027921385.1	ASM2792138v1	hymenopteran phasma-related virus OKIAV228	10734	4	4	
GCF_029884255.1	ASM2988425v1	Naranjilla mild mosaic virus	6348	3	3	
GCF_018595065.1	ASM1859506v1	Penshurt virus	12207	4	4	
GCF_013086595.1	ASM1308659v1	Kismaayo virus	11548	4	4	
GCF_029887685.1	ASM2988768v1	Aphalara polygoni bunya-like virus	9052	3	3	
GCF_029885075.1	ASM2988507v1	Erysiphe necator associated negative-stranded RNA virus 5	6326	1	1	
GCF_018595565.1	ASM1859556v1	Red clover varicosavirus	10346	4	4	
GCF_027921395.1	ASM2792139v1	hymenopteran phasma-related virus OKIAV227	10710	4	4	
GCF_023141905.1	ASM2314190v1	Botrytis cinerea fusarivirus 5	6313	2	2	
GCF_029888395.1	ASM2988839v1	Toyo virus	11206	4	4	
GCF_029888005.1	ASM2988800v1	Zwiesel bat bandavirus	11504	4	4	
GCF_023147455.1	ASM2314745v1	Lentinula edodes fusarivirus 1	6271	1	1	
GCF_023124165.1	ASM2312416v1	Aspergillus ellipticus fusarivirus 1	6253	2	2	
GCF_029883955.1	ASM2988395v1	Naranjilla chlorotic mosaic virus	6245	3	3	
GCF_004787375.1	ASM478737v1	Pepper vein yellows virus	6244	6	6	
GCF_004787715.1	Denovo mapping and Reference mapping	Pepper vein yellows virus	6244	6	6	
GCF_023120405.1	ASM2312040v1	Neofusicoccum luteum fusarivirus 1	6244	2	2	
GCF_004787755.1	ASM478775v1	Grapevine enamovirus 1	6227	5	5	
GCF_023141555.1	ASM2314155v1	Plasmopara viticola lesion associated fusarivirus 2	6222	2	2	
GCF_029885095.1	ASM2988509v1	Erysiphe necator associated negative-stranded RNA virus 23	6187	1	1	
GCF_023141585.1	ASM2314158v1	Botryosphaeria dothidea fusarivirus 1	6179	2	2	
GCF_029885105.1	ASM2988510v1	Erysiphe necator associated negative-stranded RNA virus 2	6178	1	1	
GCF_029885145.1	ASM2988514v1	Sorghum almum marafivirus	6138	1	1	
GCF_023156745.1	ASM2315674v1	Pineapple secovirus A	10289	2	2	
GCF_014042105.1	ASM1404210v1	Vibrio phage VAI1	6117	11	11	
GCF_029884955.1	ASM2988495v1	Ambidensovirus_Croatia_17_S17	6110	5	5	
GCF_900078425.1	PX3	Pepper yellows virus	6096	6	6	
GCF_029887465.1	ASM2988746v1	Turnip ringspot virus	10065	2	2	
GCF_003308835.1	ASM330883v1	Xanthomonas phage phiLF	6062	10	10	
GCF_029886005.1	ASM2988600v1	Magnaporthe oryzae mononegaambi virus 1	6057	1	1	
GCF_029886075.1	ASM2988607v1	Xinjiang mymona-like virus 2	6056	1	1	
GCF_024750095.1	APMoV RNA1-RNA2	Andean potato mottle virus	9805	2	2	
GCF_023156675.1	NODE_13	Pepper mild mosaic virus	9674	2	2	
GCF_029886065.1	ASM2988606v1	Yunnan mymona-like virus 1	6006	2	2	
GCF_023124225.1	ASM2312422v1	Zymoseptoria tritici fusarivirus 1	5969	2	2	
GCF_023156755.1	ASM2315675v1	Phaseolus vulgaris severe mosaic virus	9731	2	2	
GCF_018595135.1	ASM1859513v1	andere Heimat virus 1	9559	3	3	
GCF_023124455.1	ASM2312445v1	Rhizoctonia solani fusarivirus 3	5959	1	1	
GCF_029888445.1	ASM2988844v1	pineapple secovirus B	9764	2	2	
GCF_023156655.1	ASM2315665v1	Arabidopsis latent virus 1	9553	2	2	
GCF_024750045.1	ASM2475004v1	Grapevine Tunisian ringspot virus	5949	1	1	
GCF_029888275.1	ASM2988827v1	Universidad Nacional virus 1	9315	3	3	
GCF_002830845.1	ASM283084v1	Lake Sinai virus 2	5910	3	3	
GCF_002830825.1	ASM283082v1	Lake Sinai virus 1	5904	3	3	
GCF_029888295.1	ASM2988829v1	big electron-dense squares virus 1	9254	3	3	
GCF_018580835.1	ASM1858083v1	Ambidensovirus CaaDV1	5860	4	4	
GCF_023120435.1	ASM2312043v1	Yado-kari virus 2	5850	1	1	
GCF_023141605.1	ASM2314160v1	Groundnut rosette assistor virus	5850	7	7	
GCF_002867125.1	ASM286712v1	Gentian mosaic virus	9208	2	2	
GCF_002601645.1	ASM260164v1	Pseudomonas phage Pf3	5833	9	9	
GCF_002826625.1	ASM282662v1	Pea enation mosaic virus 1	5704	5	5	
GCF_023120445.1	ASM2312044v1	Yado-kari virus 3	5681	1	1	
GCF_003029295.1	ASM302929v1	Maize yellow mosaic virus	5642	6	6	
GCF_029886985.1	ASM2988698v1	Avonheates virus SG_61	5608	5	5	
GCF_013087245.1	ASM1308724v1	Porcine parvovirus 6	5566	2	2	
GCF_003033285.1	ASM303328v1	Bocaparvovirus primate1	5543	7	7	
GCF_029883995.1	ASM2988399v1	Rodent tetraparvovirus	5494	2	2	
GCF_018580195.1	ASM1858019v1	Pigeon parvovirus A	5492	4	4	
GCF_003652385.1	ASM365238v1	Bacilladnaviridae sp.	5461	4	4	
GCF_029885315.1	ASM2988531v1	Clinch densovirus 1	5429	5	5	
GCF_003033195.1	ASM303319v1	Acheta domestica densovirus	5425	5	5	
GCF_029884055.1	ASM2988405v1	Opossum tetraparvovirus	5420	2	2	
GCF_018580175.1	ASM1858017v1	Cassava Colombian symptomless virus	5419	4	4	
GCF_003033225.1	ASM303322v1	Canine minute virus	5402	4	4	
GCF_018591175.1	ASM1859117v1	Lepus polyomavirus 1	5386	5	5	
GCF_029884085.1	ASM2988408v1	Pileated finch aveparvovirus	5368	3	3	
GCF_023120425.1	ASM2312042v1	Yado-kari virus 4	5343	2	2	
GCF_029885675.1	ASM2988567v1	Bat associated densovirus	5331	2	2	
GCF_029883825.1	ASM2988382v1	Chaetoceros tenuissimus DNA virus SS12-43V	5318	3	3	
GCF_013087775.1	ASM1308777v1	Equine parvovirus H	5308	2	2	
GCF_029883525.1	ASM2988352v1	Canine bocavirus 3	5278	3	3	
GCF_002827445.1	ASM282744v1	Bovine parvovirus 3	5276	2	2	
GCF_023124345.1	ASM2312434v1	Rhizoctonia solani ourmia-like virus 5	5234	1	1	
GCF_029884095.1	ASM2988409v1	Rodent bocavirus	5227	3	3	
GCF_013087975.1	ASM1308797v1	red clover-associated luteovirus	5224	5	5	
GCF_029885575.1	ASM2988557v1	Broome densovirus 1	5216	5	5	
GCF_003051805.1	ASM305180v1	Vibrio phage pre-CTX	5215	7	7	
GCF_029886025.1	ASM2988602v1	Equine protoparvovirus	5194	3	3	
GCF_023141615.1	ASM2314161v1	Botrytis cinerea ourmia-like virus 1	5185	1	1	
GCF_013087475.1	ASM1308747v1	Dromedary camel bocaparvovirus 1	5161	4	4	
GCF_018584245.1	ASM1858424v1	Vicugna pacos bocaparvovirus	5155	4	4	
GCF_018573055.1	ASM1857305v1	ssRNA phage SRR5466725_21	5123	5	5	
GCF_003033355.1	ASM303335v1	Betapolyomavirus securanorvegicus	5104	5	5	
GCF_029885015.1	ASM2988501v1	Eqcopivirus EqCoPV_8	5096	2	2	
GCF_018557755.1	ASM1855775v1	ssRNA phage Gerhypos.2_14	5067	6	6	
GCF_029885685.1	ASM2988568v1	Bat associated densovirus	5063	2	2	
GCF_003657365.1	ASM365736v1	Bacilladnaviridae sp.	5058	6	6	
GCF_029886155.1	ASM2988615v1	Horse parvovirus CSF	5051	2	2	
GCF_018560115.1	ASM1856011v1	ssRNA phage Gephyllon.3_13	5034	5	5	
GCF_002827905.1	ASM282790v1	Betapolyomavirus secumuris	5005	5	5	
GCF_004787515.1	ASM478751v1	Nectarine stem pitting associated virus	4991	4	4	
GCF_013088415.1	ASM1308841v1	Tree shrew polyomavirus 1	4982	5	5	
GCF_029885705.1	ASM2988570v1	Bat associated densovirus	4967	2	2	
GCF_029885855.1	ASM2988585v1	Duck-associated ambidensovirus 1	4966	4	4	
GCF_018571725.1	ASM1857172v1	ssRNA phage Esthiorhiza.4_1	4960	7	7	
GCF_023131385.1	ASM2313138v1	Heterobasidion mitovirus 3	4955	1	1	
GCF_018571605.1	ASM1857160v1	ssRNA phage Esthiorhiza.2_37	4953	7	7	
GCF_029885175.1	ASM2988517v1	Ambidensovirus sp.	4935	1	1	
GCF_029884125.1	ASM2988412v1	Desmodus rotundus dependoparvovirus	4894	2	2	
GCF_029885715.1	ASM2988571v1	Bat associated densovirus	4887	2	2	
GCF_018569185.1	ASM1856918v1	ssRNA phage SRR6960802_3	4847	5	5	
GCF_029886995.1	ASM2988699v1	Avonheates virus SG_120	4812	4	4	
GCF_018565875.1	ASM1856587v1	ssRNA phage SRR5466727_9	4806	4	4	
GCF_018573285.1	ASM1857328v1	ssRNA phage SRR5467090_7	4794	4	4	
GCF_013102525.1	ASM1310252v1	Bujaru virus	13276	4	4	
GCF_029886465.1	ASM2988646v1	Newlavirus	4772	4	4	
GCF_013086535.1	ASM1308653v1	Saint-Floris virus	13120	4	4	
GCF_018563455.1	ASM1856345v1	ssRNA phage SRR5466337_2	4757	5	5	
GCF_018557695.1	ASM1855769v1	ssRNA phage Esthiorhiza.2_38	4750	5	5	
GCF_018557245.1	ASM1855724v1	ssRNA phage Zoerhiza.2_19	4744	4	4	
GCF_018560305.1	ASM1856030v1	ssRNA phage SRR6960799_4	4744	3	3	
GCF_018550935.1	ASM1855093v1	ssRNA phage Gephyllon.1_1	4732	5	5	
GCF_018548255.1	ASM1854825v1	ssRNA phage AVE020	4729	3	3	
